timestamp,Q,I
6881,136.40,409.99,131328.00
6900,-78.73,302.39,4104.00
6920,131.56,404.89,131328.00
6939,-77.27,302.73,4104.00
6959,136.93,410.19,131328.00
6978,-77.54,302.73,4104.00
6998,130.17,404.63,131328.00
7017,-77.73,302.13,4104.00
7037,135.07,408.93,131328.00
7056,-78.33,301.80,4104.00
7076,131.76,407.47,131328.00
7095,-77.67,302.53,4104.00
7115,131.70,407.94,131328.00
7134,-77.87,300.21,4104.00
7153,129.38,403.96,131328.00
7173,-78.53,301.20,4104.00
7192,129.58,404.23,131328.00
7212,-76.54,301.40,4104.00
7231,131.96,406.88,131328.00
7251,-77.73,302.53,4104.00
7270,133.09,405.16,131328.00
7290,-78.26,302.06,4104.00
7309,129.58,404.69,131328.00
7329,-78.20,303.12,4104.00
7348,137.86,408.80,131328.00
7368,-78.00,303.19,4104.00
7387,129.98,404.96,131328.00
7407,-77.34,303.98,4104.00
7426,138.25,409.92,131328.00
7446,-78.26,305.04,4104.00
7465,132.36,409.20,131328.00
7485,-77.54,305.37,4104.00
7504,138.65,409.66,131328.00
7524,-78.66,304.98,4104.00
7543,139.64,409.86,131328.00
7563,-78.53,306.76,4104.00
7582,131.37,407.01,131328.00
7602,-76.01,307.56,4104.00
7621,139.38,411.25,131328.00
7641,-77.40,308.88,4104.00
7660,135.60,411.38,131328.00
7680,-76.74,309.02,4104.00
7699,131.90,408.53,131328.00
7719,-77.60,311.13,4104.00
7738,132.56,407.61,131328.00
7758,-76.01,310.94,4104.00
7777,132.36,408.60,131328.00
7797,-77.01,313.45,4104.00
7816,139.84,414.62,131328.00
7836,-76.81,312.46,4104.00
7855,141.10,413.17,131328.00
7875,-77.80,313.12,4104.00
7894,133.95,412.51,131328.00
7914,-76.94,316.36,4104.00
7933,135.74,413.70,131328.00
7953,-76.54,315.77,4104.00
7972,136.33,410.78,131328.00
7992,-76.41,317.03,4104.00
8011,141.50,414.29,131328.00
8031,-76.48,317.62,4104.00
8050,135.07,411.71,131328.00
8070,-76.67,319.28,4104.00
8089,142.62,415.88,131328.00
8109,-75.81,320.67,4104.00
8128,142.09,418.13,131328.00
8148,-76.61,322.19,4104.00
8167,142.49,418.27,131328.00
8187,-75.02,323.78,4104.00
8206,138.45,418.33,131328.00
8226,-75.35,325.77,4104.00
8245,138.65,418.86,131328.00
8265,-77.01,327.42,4104.00
8284,137.26,415.68,131328.00
8304,-76.28,328.15,4104.00
8323,137.33,416.88,131328.00
8343,-75.35,329.67,4104.00
8362,139.44,421.58,131328.00
8382,-76.81,330.47,4104.00
8401,139.84,418.07,131328.00
8421,-75.95,332.39,4104.00
8440,140.24,422.57,131328.00
8460,-75.35,333.32,4104.00
8479,139.05,421.44,131328.00
8499,-74.36,334.04,4104.00
8518,147.06,423.56,131328.00
8538,-73.96,335.24,4104.00
8557,141.17,425.09,131328.00
8576,-75.48,337.29,4104.00
8596,143.95,421.71,131328.00
8615,-75.68,338.08,4104.00
8635,141.43,425.55,131328.00
8654,-74.89,338.55,4104.00
8674,142.62,422.44,131328.00
8693,-74.89,340.33,4104.00
8713,147.39,426.08,131328.00
8732,-75.15,340.67,4104.00
8752,140.04,423.96,131328.00
8771,-75.02,340.73,4104.00
8791,148.52,427.27,131328.00
8810,-75.28,342.78,4104.00
8830,145.07,427.93,131328.00
8849,-74.89,343.98,4104.00
8869,142.62,424.95,131328.00
8888,-73.83,344.70,4104.00
8908,148.58,427.27,131328.00
8927,-72.57,345.76,4104.00
8947,150.90,431.77,131328.00
8966,-74.29,347.42,4104.00
8986,141.89,427.60,131328.00
9005,-74.42,348.74,4104.00
9025,149.91,432.11,131328.00
9044,-75.35,351.33,4104.00
9064,148.52,433.36,131328.00
9083,-74.22,352.91,4104.00
9103,144.81,429.19,131328.00
9122,-75.02,351.72,4104.00
9142,144.81,430.65,131328.00
9161,-73.63,353.97,4104.00
9181,145.67,434.75,131328.00
9200,-73.17,355.50,4104.00
9220,150.37,433.43,131328.00
9239,-74.36,357.28,4104.00
9259,145.67,435.15,131328.00
9278,-74.09,358.61,4104.00
9298,151.23,434.95,131328.00
9317,-74.69,360.00,4104.00
9337,153.81,438.53,131328.00
9356,-74.56,361.19,4104.00
9376,145.34,435.22,131328.00
9395,-74.22,360.73,4104.00
9415,154.08,437.67,131328.00
9434,-74.22,362.05,4104.00
9454,147.46,434.55,131328.00
9473,-73.89,363.24,4104.00
9493,147.32,436.87,131328.00
9512,-73.03,363.24,4104.00
9532,151.30,441.04,131328.00
9551,-74.49,364.70,4104.00
9571,154.87,441.11,131328.00
9590,-74.42,366.49,4104.00
9610,148.58,438.59,131328.00
9629,-73.10,366.69,4104.00
9649,155.67,444.16,131328.00
9668,-75.81,369.53,4104.00
9688,151.56,440.18,131328.00
9707,-75.68,370.86,4104.00
9727,149.38,441.31,131328.00
9746,-73.76,372.78,4104.00
9766,150.10,444.75,131328.00
9785,-75.02,374.17,4104.00
9805,156.86,448.86,131328.00
9824,-75.28,375.76,4104.00
9844,151.03,443.69,131328.00
9863,-74.36,376.75,4104.00
9883,154.08,449.78,131328.00
9902,-75.09,378.80,4104.00
9922,152.82,449.92,131328.00
9941,-75.95,379.93,4104.00
9961,157.12,451.51,131328.00
9980,-75.42,380.26,4104.00
10000,154.67,448.46,131328.00
10019,-75.95,382.05,4104.00
10038,162.02,454.35,131328.00
10058,-75.09,383.31,4104.00
10077,155.47,452.70,131328.00
10097,-75.88,383.77,4104.00
10116,153.81,450.98,131328.00
10136,-77.07,384.23,4104.00
10155,161.63,452.50,131328.00
10175,-75.62,384.96,4104.00
10194,161.16,453.82,131328.00
10214,-75.62,384.76,4104.00
10233,156.73,454.62,131328.00
10253,-76.14,386.82,4104.00
10272,157.45,452.50,131328.00
10292,-76.28,388.07,4104.00
10311,162.49,458.26,131328.00
10331,-75.35,388.34,4104.00
10350,163.81,456.87,131328.00
10370,-77.87,388.93,4104.00
10389,157.12,455.94,131328.00
10409,-77.40,391.12,4104.00
10428,164.21,459.65,131328.00
10448,-77.14,392.71,4104.00
10467,161.16,457.33,131328.00
10487,-77.60,393.64,4104.00
10506,164.74,460.11,131328.00
10526,-77.34,395.29,4104.00
10545,158.84,460.91,131328.00
10565,-78.06,396.09,4104.00
10584,161.36,462.96,131328.00
10604,-77.60,396.75,4104.00
10623,164.27,464.88,131328.00
10643,-76.87,397.48,4104.00
10662,161.10,464.28,131328.00
10682,-77.80,398.80,4104.00
10701,161.76,460.38,131328.00
10721,-78.00,399.13,4104.00
10740,161.23,464.81,131328.00
10760,-78.40,399.13,4104.00
10779,166.00,464.15,131328.00
10799,-77.73,398.93,4104.00
10818,161.63,464.15,131328.00
10838,-77.73,400.32,4104.00
10857,166.13,464.15,131328.00
10877,-77.93,399.99,4104.00
10896,161.96,464.81,131328.00
10916,-77.87,399.59,4104.00
10935,166.53,466.27,131328.00
10955,-77.27,401.05,4104.00
10974,161.43,461.57,131328.00
10994,-78.86,401.12,4104.00
11013,159.44,464.09,131328.00
11033,-78.46,402.11,4104.00
11052,161.69,463.82,131328.00
11072,-79.52,402.24,4104.00
11091,161.69,462.43,131328.00
11111,-78.79,402.38,4104.00
11130,167.78,467.99,131328.00
11150,-78.73,403.17,4104.00
11169,167.85,467.73,131328.00
11189,-78.46,402.91,4104.00
11208,162.68,468.39,131328.00
11228,-79.26,403.24,4104.00
11247,161.23,464.81,131328.00
11267,-78.66,403.90,4104.00
11286,163.21,464.62,131328.00
