timestamp,Q,I,F
11711.0,-62.0,270.5,4104
11730.0,117.1,339.5,131328
11750.0,-63.4,271.8,4104
11769.0,116.1,338.7,131328
11789.0,-61.6,270.5,4104
11808.0,122.8,341.9,131328
11828.0,-62.2,269.3,4104
11847.0,116.4,340.9,131328
11867.0,-61.0,267.8,4104
11886.0,119.9,340.3,131328
11906.0,-61.1,267.9,4104
11925.0,115.5,339.9,131328
11945.0,-60.1,267.3,4104
11964.0,122.4,341.2,131328
11984.0,-61.1,267.7,4104
12003.0,115.1,339.1,131328
12023.0,-62.3,267.0,4104
12042.0,122.6,342.5,131328
12062.0,-60.8,266.3,4104
12081.0,119.0,338.7,131328
12101.0,-62.3,265.8,4104
12120.0,118.8,338.1,131328
12140.0,-60.8,267.0,4104
12159.0,117.1,340.6,131328
12179.0,-61.0,265.7,4104
12198.0,120.1,339.4,131328
12218.0,-63.1,265.1,4104
12237.0,121.7,341.7,131328
12257.0,-62.2,266.0,4104
12276.0,114.2,338.1,131328
12296.0,-61.7,265.0,4104
12315.0,121.0,339.6,131328
12335.0,-62.0,264.5,4104
12354.0,117.2,338.1,131328
12374.0,-62.3,265.6,4104
12393.0,121.4,340.7,131328
12413.0,-62.2,264.9,4104
12432.0,116.5,336.6,131328
12452.0,-63.2,264.3,4104
12471.0,116.9,337.8,131328
12491.0,-63.0,265.6,4104
12510.0,114.9,339.5,131328
12530.0,-62.0,266.0,4104
12549.0,119.2,338.9,131328
12569.0,-63.0,265.2,4104
12588.0,117.6,338.3,131328
12608.0,-62.2,266.0,4104
12627.0,114.9,338.2,131328
12647.0,-62.1,266.4,4104
12666.0,115.9,338.3,131328
12686.0,-62.8,267.8,4104
12705.0,115.5,340.6,131328
12725.0,-62.2,267.8,4104
12744.0,118.0,339.4,131328
12764.0,-62.0,269.2,4104
12783.0,120.4,341.8,131328
12803.0,-61.5,270.1,4104
12822.0,122.8,342.8,131328
12842.0,-61.2,268.9,4104
12861.0,121.3,341.5,131328
12881.0,-61.6,270.0,4104
12900.0,123.0,342.7,131328
12920.0,-61.0,270.3,4104
12939.0,123.8,343.2,131328
12959.0,-60.8,271.7,4104
12978.0,119.6,341.1,131328
12998.0,-61.8,273.1,4104
13017.0,116.2,340.5,131328
13037.0,-61.2,272.5,4104
13056.0,121.3,343.0,131328
13076.0,-62.4,274.4,4104
13095.0,119.1,345.0,131328
13115.0,-59.9,275.8,4104
13134.0,120.4,343.7,131328
13153.0,-62.3,277.6,4104
13173.0,117.6,342.0,131328
13192.0,-62.1,279.1,4104
13212.0,125.7,348.3,131328
13231.0,-60.5,279.5,4104
13251.0,125.9,349.5,131328
13270.0,-61.6,280.3,4104
13290.0,119.8,348.2,131328
13309.0,-60.8,281.1,4104
13329.0,121.4,348.9,131328
13348.0,-62.0,281.5,4104
13368.0,127.1,351.2,131328
13387.0,-62.2,283.6,4104
13407.0,127.6,350.2,131328
13426.0,-61.0,284.3,4104
13446.0,121.3,350.6,131328
13465.0,-60.1,285.6,4104
13485.0,123.8,350.0,131328
13504.0,-62.2,287.4,4104
13524.0,120.5,350.5,131328
13543.0,-61.2,287.7,4104
13563.0,121.4,348.7,131328
13582.0,-61.2,289.5,4104
13602.0,126.2,351.8,131328
13621.0,-60.4,289.1,4104
13641.0,128.2,354.2,131328
13660.0,-59.3,290.8,4104
13680.0,127.3,352.8,131328
13699.0,-61.1,290.3,4104
13719.0,121.2,350.5,131328
13738.0,-61.0,291.2,4104
13758.0,129.8,354.4,131328
13777.0,-60.6,292.0,4104
13797.0,123.6,351.7,131328
13816.0,-62.0,293.3,4104
13836.0,130.6,355.3,131328
13855.0,-59.7,294.2,4104
13875.0,123.1,354.8,131328
13894.0,-59.9,295.1,4104
13914.0,130.6,357.5,131328
13933.0,-60.1,297.0,4104
13953.0,126.5,358.1,131328
13972.0,-61.2,297.6,4104
13992.0,131.8,358.6,131328
14011.0,-58.4,300.1,4104
14031.0,124.6,358.5,131328
14050.0,-60.8,301.1,4104
14070.0,126.5,360.1,131328
14089.0,-59.7,300.8,4104
14109.0,131.7,362.5,131328
14128.0,-59.9,303.5,4104
14148.0,124.7,358.5,131328
14167.0,-62.2,302.9,4104
14187.0,125.3,357.9,131328
14206.0,-60.3,304.4,4104
14226.0,126.4,361.5,131328
14245.0,-62.0,305.6,4104
14265.0,133.7,364.6,131328
14284.0,-59.1,307.2,4104
14304.0,134.9,364.4,131328
14323.0,-59.5,308.0,4104
14343.0,128.5,365.0,131328
14362.0,-60.8,310.0,4104
14382.0,134.9,366.5,131328
14401.0,-59.6,310.5,4104
14421.0,128.6,366.2,131328
14440.0,-60.1,311.3,4104
14460.0,128.9,363.8,131328
14479.0,-61.5,312.0,4104
14499.0,134.7,366.2,131328
14518.0,-62.7,311.9,4104
14538.0,128.0,366.1,131328
14557.0,-58.7,312.2,4104
14576.0,126.9,363.5,131328
14596.0,-60.6,312.9,4104
14615.0,130.4,365.4,131328
14635.0,-60.1,313.8,4104
14654.0,134.7,367.3,131328
14674.0,-61.1,314.3,4104
14693.0,128.7,368.4,131328
14713.0,-59.9,315.8,4104
14732.0,128.2,365.8,131328
14752.0,-61.3,316.6,4104
14771.0,131.2,367.3,131328
14791.0,-61.8,317.6,4104
14810.0,130.0,369.5,131328
14830.0,-58.9,317.2,4104
14849.0,132.4,366.9,131328
14869.0,-60.8,319.8,4104
14888.0,136.3,372.8,131328
14908.0,-61.2,320.3,4104
14927.0,130.4,370.2,131328
14947.0,-58.9,320.4,4104
14966.0,134.9,372.3,131328
14986.0,-61.4,321.4,4104
15005.0,134.1,371.2,131328
15025.0,-60.4,321.9,4104
15044.0,138.0,374.8,131328
15064.0,-61.2,321.8,4104
15083.0,132.7,371.4,131328
15103.0,-60.5,322.9,4104
15122.0,138.6,373.3,131328
15142.0,-60.0,323.0,4104
15161.0,138.3,375.6,131328
15181.0,-60.9,322.3,4104
15200.0,133.4,371.7,131328
15220.0,-60.8,320.2,4104
15239.0,130.8,372.4,131328
15259.0,-60.4,321.6,4104
15278.0,134.5,372.8,131328
15298.0,-59.3,319.9,4104
15317.0,136.5,371.3,131328
15337.0,-60.3,318.2,4104
15356.0,137.3,370.7,131328
15376.0,-59.9,318.9,4104
