ax,ay,az
5096,-0.00,0.59,0.80
5105,0.03,0.60,0.80
5115,0.04,0.61,0.80
5125,0.04,0.60,0.81
5134,0.04,0.61,0.80
5144,0.05,0.60,0.80
5153,0.05,0.60,0.80
5163,0.04,0.59,0.80
5173,0.05,0.59,0.80
5182,0.05,0.60,0.80
5192,0.05,0.60,0.80
5201,0.05,0.61,0.79
5211,0.04,0.61,0.79
5221,0.04,0.62,0.79
5230,0.03,0.62,0.79
5240,0.04,0.61,0.79
5250,0.04,0.61,0.79
5259,0.04,0.61,0.79
5269,0.04,0.61,0.79
5278,0.04,0.60,0.80
5288,0.03,0.60,0.80
5298,0.03,0.60,0.81
5307,0.03,0.60,0.81
5317,0.04,0.60,0.80
5326,0.05,0.60,0.79
5336,0.05,0.61,0.78
5346,0.05,0.61,0.78
5355,0.05,0.61,0.78
5365,0.04,0.62,0.78
5375,0.04,0.62,0.79
5384,0.04,0.62,0.79
5394,0.04,0.62,0.79
5403,0.05,0.61,0.79
5413,0.05,0.60,0.79
5423,0.05,0.60,0.80
5432,0.05,0.59,0.80
5442,0.05,0.59,0.79
5451,0.05,0.60,0.78
5461,0.05,0.61,0.78
5471,0.05,0.62,0.79
5480,0.05,0.62,0.78
5490,0.05,0.62,0.78
5500,0.05,0.62,0.78
5509,0.05,0.62,0.78
5519,0.05,0.61,0.78
5528,0.05,0.61,0.78
5538,0.04,0.62,0.78
5548,0.04,0.62,0.79
5557,0.05,0.61,0.79
5567,0.05,0.61,0.78
5576,0.05,0.60,0.78
5586,0.05,0.60,0.78
5596,0.05,0.61,0.79
5605,0.04,0.61,0.79
5615,0.04,0.61,0.79
5625,0.05,0.61,0.79
5634,0.04,0.62,0.79
5644,0.04,0.62,0.79
5653,0.03,0.61,0.80
5663,0.04,0.61,0.79
5673,0.05,0.61,0.79
5682,0.05,0.60,0.79
5692,0.05,0.60,0.79
5701,0.05,0.60,0.79
5711,0.05,0.60,0.80
5721,0.04,0.59,0.80
5730,0.04,0.60,0.80
5740,0.04,0.61,0.80
5750,0.04,0.61,0.79
5759,0.04,0.62,0.79
5769,0.04,0.62,0.78
5778,0.04,0.62,0.78
5788,0.04,0.62,0.78
5798,0.04,0.61,0.78
5807,0.04,0.62,0.79
5817,0.04,0.61,0.79
5826,0.04,0.60,0.79
5836,0.05,0.60,0.79
5846,0.05,0.61,0.78
5855,0.06,0.61,0.78
5865,0.06,0.62,0.78
5875,0.05,0.62,0.78
5884,0.05,0.62,0.78
5894,0.04,0.62,0.79
5903,0.04,0.61,0.79
5913,0.04,0.61,0.79
5923,0.04,0.61,0.78
5932,0.05,0.61,0.78
5942,0.05,0.62,0.79
5951,0.05,0.62,0.79
5961,0.04,0.61,0.79
5971,0.04,0.61,0.79
5980,0.04,0.61,0.79
5990,0.04,0.61,0.79
6000,0.03,0.61,0.79
6009,0.04,0.61,0.79
6019,0.04,0.61,0.79
6028,0.05,0.61,0.79
6038,0.05,0.61,0.78
6048,0.05,0.61,0.78
6057,0.05,0.61,0.78
6067,0.05,0.61,0.79
6076,0.04,0.61,0.79
6086,0.04,0.61,0.79
6096,0.04,0.61,0.79
6105,0.04,0.61,0.79
6115,0.05,0.61,0.79
6125,0.05,0.61,0.79
6134,0.05,0.61,0.78
6144,0.05,0.61,0.78
6153,0.05,0.62,0.78
6163,0.06,0.62,0.77
6173,0.05,0.62,0.77
6182,0.05,0.62,0.78
6192,0.05,0.62,0.78
6201,0.05,0.63,0.78
6211,0.05,0.63,0.78
6221,0.05,0.63,0.78
6230,0.05,0.63,0.79
6240,0.05,0.62,0.79
6250,0.05,0.61,0.79
6259,0.05,0.61,0.79
6269,0.04,0.61,0.79
6278,0.04,0.61,0.79
6288,0.05,0.61,0.78
6298,0.05,0.61,0.78
6307,0.04,0.62,0.78
6317,0.04,0.63,0.78
6326,0.04,0.62,0.78
6336,0.04,0.62,0.78
6346,0.04,0.63,0.78
6355,0.05,0.62,0.78
6365,0.06,0.62,0.78
6375,0.06,0.61,0.77
6384,0.06,0.61,0.77
6394,0.06,0.61,0.78
6403,0.05,0.61,0.78
6413,0.05,0.62,0.78
6423,0.05,0.63,0.79
6432,0.05,0.62,0.79
6442,0.05,0.62,0.79
6451,0.05,0.61,0.79
6461,0.05,0.61,0.79
6471,0.06,0.60,0.79
6480,0.06,0.60,0.79
6490,0.06,0.60,0.78
6500,0.06,0.60,0.78
6509,0.05,0.61,0.79
6519,0.05,0.61,0.79
6528,0.04,0.62,0.79
6538,0.04,0.62,0.79
6548,0.04,0.62,0.79
6557,0.05,0.62,0.78
6567,0.05,0.62,0.77
6576,0.06,0.63,0.76
6586,0.06,0.63,0.75
6596,0.06,0.63,0.76
6605,0.06,0.63,0.76
6615,0.06,0.64,0.77
6625,0.05,0.64,0.78
6634,0.05,0.62,0.78
6644,0.05,0.62,0.78
6653,0.05,0.61,0.78
6663,0.05,0.62,0.78
6673,0.05,0.62,0.79
6682,0.05,0.62,0.79
6692,0.04,0.62,0.79
6701,0.05,0.61,0.78
6711,0.05,0.62,0.78
6721,0.05,0.62,0.78
6730,0.05,0.62,0.77
6740,0.05,0.63,0.77
6750,0.05,0.63,0.77
6759,0.05,0.63,0.77
6769,0.05,0.63,0.78
6778,0.05,0.62,0.78
6788,0.05,0.61,0.78
6798,0.05,0.61,0.77
6807,0.05,0.62,0.77
6817,0.05,0.62,0.77
6826,0.05,0.62,0.77
6836,0.05,0.62,0.78
6846,0.04,0.62,0.78
6855,0.04,0.62,0.78
6865,0.04,0.63,0.78
6875,0.05,0.63,0.77
6884,0.06,0.63,0.76
6894,0.06,0.62,0.76
6903,0.05,0.63,0.77
6913,0.05,0.62,0.77
6923,0.05,0.63,0.77
6932,0.04,0.63,0.78
6942,0.04,0.63,0.78
6951,0.05,0.63,0.78
6961,0.05,0.63,0.77
6971,0.06,0.63,0.77
6980,0.06,0.62,0.77
6990,0.06,0.62,0.78
7000,0.06,0.61,0.78
7009,0.05,0.62,0.78
7019,0.05,0.62,0.78
7028,0.05,0.62,0.78
7038,0.06,0.62,0.77
7048,0.06,0.62,0.78
7057,0.06,0.62,0.77
7067,0.06,0.62,0.78
7076,0.05,0.63,0.78
7086,0.05,0.63,0.78
7096,0.05,0.62,0.78
7105,0.05,0.62,0.77
7115,0.06,0.62,0.77
7125,0.06,0.62,0.77
7134,0.07,0.62,0.77
7144,0.07,0.62,0.76
7153,0.07,0.62,0.76
7163,0.06,0.62,0.77
7173,0.06,0.62,0.78
7182,0.05,0.62,0.78
7192,0.05,0.62,0.79
7201,0.05,0.62,0.79
7211,0.06,0.62,0.79
7221,0.06,0.62,0.78
7230,0.06,0.61,0.78
7240,0.06,0.61,0.78
7250,0.06,0.61,0.77
7259,0.06,0.61,0.77
7269,0.05,0.62,0.78
7278,0.05,0.62,0.78
7288,0.05,0.63,0.78
7298,0.06,0.63,0.78
7307,0.06,0.63,0.77
7317,0.06,0.62,0.77
7326,0.05,0.62,0.77
7336,0.05,0.62,0.77
7346,0.06,0.61,0.77
7355,0.06,0.62,0.77
7365,0.06,0.62,0.77
7375,0.06,0.62,0.77
7384,0.06,0.63,0.78
7394,0.06,0.63,0.79
7403,0.06,0.61,0.79
7413,0.07,0.60,0.78
7423,0.08,0.61,0.78
7432,0.08,0.61,0.77
7442,0.07,0.62,0.77
7451,0.07,0.63,0.76
7461,0.06,0.63,0.77
7471,0.05,0.63,0.77
7480,0.04,0.63,0.78
7490,0.04,0.62,0.79
7500,0.04,0.62,0.79
7509,0.04,0.62,0.78
7519,0.04,0.62,0.77
7528,0.04,0.62,0.78
7538,0.04,0.62,0.78
7548,0.04,0.62,0.78
7557,0.04,0.61,0.78
7567,0.04,0.61,0.78
7576,0.04,0.62,0.78
7586,0.04,0.62,0.78
7596,0.04,0.63,0.77
7605,0.04,0.63,0.77
7615,0.04,0.64,0.78
7625,0.04,0.64,0.78
7634,0.04,0.63,0.78
7644,0.05,0.62,0.78
7653,0.05,0.61,0.78
7663,0.06,0.61,0.78
7673,0.06,0.61,0.78
7682,0.05,0.61,0.78
7692,0.05,0.62,0.78
7701,0.05,0.62,0.78
7711,0.05,0.62,0.77
7721,0.05,0.62,0.76
7730,0.05,0.62,0.77
7740,0.05,0.63,0.77
7750,0.04,0.62,0.78
7759,0.03,0.62,0.78
7769,0.03,0.61,0.79
7778,0.04,0.60,0.79
7788,0.04,0.60,0.79
7798,0.04,0.61,0.79
7807,0.04,0.61,0.78
7817,0.04,0.61,0.78
7826,0.05,0.62,0.79
7836,0.05,0.62,0.78
7846,0.04,0.61,0.78
7855,0.04,0.61,0.78
7865,0.03,0.62,0.79
7875,0.04,0.61,0.78
7884,0.04,0.61,0.78
7894,0.04,0.60,0.78
7903,0.04,0.61,0.77
7913,0.04,0.61,0.77
7923,0.04,0.62,0.78
7932,0.03,0.63,0.78
7942,0.03,0.62,0.78
7951,0.03,0.62,0.78
7961,0.03,0.62,0.79
7971,0.03,0.61,0.79
7980,0.03,0.61,0.79
7990,0.03,0.60,0.78
8000,0.04,0.60,0.78
8009,0.04,0.61,0.78
8019,0.04,0.61,0.78
8028,0.04,0.62,0.78
8038,0.03,0.62,0.78
8048,0.04,0.62,0.78
8057,0.03,0.62,0.78
8067,0.03,0.62,0.78
8076,0.04,0.62,0.78
8086,0.04,0.61,0.77
8096,0.04,0.61,0.77
8105,0.04,0.62,0.77
8115,0.04,0.61,0.77
8125,0.03,0.61,0.77
8134,0.02,0.62,0.78
8144,0.02,0.62,0.78
8153,0.02,0.61,0.78
8163,0.03,0.61,0.78
8173,0.03,0.61,0.78
8182,0.04,0.61,0.78
8192,0.04,0.61,0.78
8201,0.04,0.61,0.79
8211,0.03,0.61,0.79
8221,0.02,0.61,0.79
8230,0.02,0.61,0.79
8240,0.02,0.61,0.79
8250,0.02,0.61,0.79
8259,0.02,0.61,0.78
8269,0.03,0.61,0.78
8278,0.03,0.61,0.78
8288,0.03,0.61,0.78
8298,0.03,0.61,0.78
8307,0.03,0.61,0.78
8317,0.03,0.61,0.78
8326,0.03,0.61,0.79
8336,0.03,0.61,0.79
8346,0.03,0.60,0.79
8355,0.03,0.60,0.78
8365,0.03,0.60,0.78
8375,0.03,0.61,0.78
8384,0.02,0.61,0.78
8394,0.02,0.62,0.78
8403,0.02,0.62,0.78
8413,0.02,0.62,0.78
8423,0.03,0.62,0.78
8432,0.03,0.61,0.78
8442,0.03,0.61,0.78
8451,0.04,0.60,0.78
8461,0.04,0.60,0.78
8471,0.04,0.61,0.79
8480,0.04,0.61,0.79
8490,0.04,0.61,0.79
8500,0.04,0.61,0.80
8509,0.04,0.61,0.80
8519,0.04,0.60,0.79
8528,0.04,0.60,0.79
8538,0.04,0.61,0.79
8548,0.04,0.61,0.79
8557,0.04,0.60,0.78
8567,0.03,0.60,0.78
8576,0.03,0.60,0.79
8586,0.03,0.60,0.79
8596,0.03,0.59,0.79
8605,0.03,0.60,0.80
8615,0.03,0.61,0.79
8625,0.04,0.61,0.79
8634,0.05,0.60,0.79
8644,0.03,0.61,0.80
8653,0.04,0.60,0.79
8663,0.05,0.59,0.79
8673,0.05,0.59,0.79
8682,0.05,0.59,0.79
8692,0.05,0.60,0.79
8701,0.04,0.60,0.80
8711,0.04,0.60,0.80
8721,0.04,0.60,0.80
8730,0.04,0.60,0.80
8740,0.04,0.59,0.79
8750,0.04,0.59,0.80
8759,0.05,0.59,0.80
8769,0.05,0.59,0.79
8778,0.05,0.59,0.79
8788,0.04,0.60,0.79
8798,0.04,0.60,0.80
8807,0.04,0.60,0.80
8817,0.04,0.60,0.80
8826,0.05,0.60,0.80
8836,0.05,0.60,0.79
8846,0.05,0.59,0.80
8855,0.06,0.59,0.80
8865,0.05,0.59,0.80
8875,0.05,0.59,0.80
8884,0.05,0.60,0.80
8894,0.05,0.60,0.80
8903,0.05,0.59,0.80
8913,0.04,0.59,0.80
8923,0.04,0.60,0.79
8932,0.05,0.60,0.79
8942,0.05,0.60,0.78
8951,0.05,0.60,0.78
8961,0.05,0.60,0.78
8971,0.04,0.60,0.79
8980,0.03,0.60,0.80
8990,0.03,0.60,0.81
