timestamp,Q,I,F,phase_deg
7602.0,9.8,29.4,4104,18.43
7633.0,-5.7,22.9,131328,-13.98
7664.0,10.4,29.4,4104,19.48
7695.0,-5.6,23.3,131328,-13.51
7727.0,10.0,29.9,4104,18.49
7758.0,-5.7,23.6,131328,-13.58
7789.0,10.7,30.1,4104,19.57
7820.0,-5.6,24.2,131328,-13.03
7851.0,10.3,30.0,4104,18.95
7883.0,-5.6,24.5,131328,-12.88
7914.0,10.2,30.7,4104,18.38
7945.0,-5.6,25.0,131328,-12.63
7976.0,10.5,30.9,4104,18.77
8007.0,-5.5,25.3,131328,-12.26
8038.0,11.0,30.6,4104,19.77
8070.0,-5.6,25.8,131328,-12.25
8101.0,10.6,31.6,4104,18.54
8132.0,-5.5,26.1,131328,-11.90
8163.0,10.4,31.2,4104,18.43
8194.0,-5.7,26.9,131328,-11.96
8226.0,10.9,32.0,4104,18.81
8257.0,-5.6,27.1,131328,-11.68
8288.0,11.6,32.0,4104,19.93
8319.0,-5.6,27.3,131328,-11.59
8350.0,11.1,32.2,4104,19.02
8382.0,-5.7,27.5,131328,-11.71
8413.0,11.5,32.2,4104,19.65
8444.0,-5.6,28.1,131328,-11.27
8475.0,11.9,32.8,4104,19.94
8506.0,-5.7,28.3,131328,-11.39
8538.0,12.3,33.0,4104,20.44
8569.0,-5.8,28.6,131328,-11.46
8600.0,11.4,32.8,4104,19.17
8631.0,-5.8,28.5,131328,-11.50
8662.0,11.6,32.9,4104,19.42
8693.0,-5.8,28.4,131328,-11.54
8725.0,11.5,32.4,4104,19.54
8756.0,-5.4,28.3,131328,-10.80
8787.0,11.5,32.6,4104,19.43
8818.0,-5.7,28.3,131328,-11.39
8849.0,11.5,32.6,4104,19.43
8881.0,-5.5,28.3,131328,-11.00
8912.0,11.4,32.8,4104,19.17
8943.0,-5.7,28.6,131328,-11.27
8974.0,11.4,32.8,4104,19.17
9005.0,-5.8,28.4,131328,-11.54
9037.0,12.3,32.9,4104,20.50
9068.0,-5.9,28.3,131328,-11.78
9099.0,12.2,32.7,4104,20.46
9130.0,-5.7,28.1,131328,-11.47
9161.0,11.3,32.5,4104,19.17
9192.0,-5.6,27.8,131328,-11.39
9224.0,11.3,32.0,4104,19.45
9255.0,-5.6,27.3,131328,-11.59
9286.0,11.1,31.7,4104,19.30
9317.0,-5.7,26.8,131328,-12.01
9348.0,10.8,31.4,4104,18.98
9380.0,-5.4,26.8,131328,-11.39
9411.0,11.0,31.0,4104,19.54
9442.0,-5.4,26.0,131328,-11.73
9473.0,10.9,30.8,4104,19.49
9504.0,-5.5,25.6,131328,-12.13
9536.0,10.8,30.6,4104,19.44
9567.0,-5.5,25.3,131328,-12.26
9598.0,11.0,30.5,4104,19.83
9629.0,-5.3,24.9,131328,-12.02
9660.0,10.4,30.1,4104,19.06
9692.0,-5.6,24.4,131328,-12.93
9723.0,10.1,30.0,4104,18.61
9754.0,-5.6,24.2,131328,-13.03
9785.0,10.5,29.7,4104,19.47
9816.0,-5.5,23.8,131328,-13.01
9847.0,10.1,30.0,4104,18.61
9879.0,-5.5,23.6,131328,-13.12
9910.0,10.0,29.8,4104,18.55
9941.0,-5.6,23.2,131328,-13.57
9972.0,9.9,29.2,4104,18.73
10003.0,-5.3,23.0,131328,-12.98
10035.0,10.1,29.0,4104,19.20
10066.0,-5.5,22.7,131328,-13.62
10097.0,10.2,29.0,4104,19.38
10128.0,-5.3,22.3,131328,-13.37
10159.0,9.6,28.5,4104,18.62
10191.0,-5.7,21.9,131328,-14.59
10222.0,9.9,28.8,4104,18.97
10253.0,-5.7,21.8,131328,-14.65
10284.0,9.9,28.4,4104,19.22
10315.0,-5.6,21.6,131328,-14.53
10346.0,10.0,28.5,4104,19.33
10378.0,-5.5,21.4,131328,-14.41
10409.0,9.9,28.3,4104,19.28
10440.0,-5.6,21.3,131328,-14.73
10471.0,9.7,28.7,4104,18.67
10502.0,-5.7,21.1,131328,-15.12
10534.0,8.8,28.3,4104,17.27
10565.0,-5.6,21.0,131328,-14.93
10596.0,9.3,27.7,4104,18.56
10627.0,-5.5,20.9,131328,-14.74
10658.0,9.1,28.2,4104,17.88
10690.0,-5.7,20.7,131328,-15.40
10721.0,9.0,28.2,4104,17.70
10752.0,-5.7,20.6,131328,-15.47
10783.0,9.1,27.6,4104,18.25
10814.0,-5.7,20.5,131328,-15.54
10846.0,9.2,27.6,4104,18.43
10877.0,-5.6,20.4,131328,-15.35
10908.0,9.2,28.1,4104,18.13
10939.0,-5.6,20.3,131328,-15.42
10970.0,9.3,27.6,4104,18.62
11001.0,-5.6,20.2,131328,-15.49
11033.0,9.6,27.9,4104,18.99
11064.0,-5.9,20.2,131328,-16.28
11095.0,9.1,27.4,4104,18.37
11126.0,-5.8,20.1,131328,-16.10
11157.0,8.7,27.7,4104,17.44
11189.0,-5.5,20.2,131328,-15.23
11220.0,8.8,27.6,4104,17.68
11251.0,-5.9,20.0,131328,-16.44
11282.0,8.9,27.4,4104,17.99
11313.0,-5.9,19.9,131328,-16.51
11345.0,9.3,27.6,4104,18.62
11376.0,-5.7,20.0,131328,-15.91
11407.0,9.2,27.5,4104,18.50
11438.0,-5.8,19.8,131328,-16.33
11469.0,8.6,27.6,4104,17.31
11500.0,-5.8,19.8,131328,-16.33
11532.0,8.8,27.7,4104,17.62
11563.0,-5.7,19.6,131328,-16.22
11594.0,8.8,27.3,4104,17.87
11625.0,-5.8,19.7,131328,-16.41
11656.0,9.5,27.7,4104,18.93
11688.0,-5.7,19.7,131328,-16.14
11719.0,8.7,27.5,4104,17.56
11750.0,-5.7,19.7,131328,-16.14
11781.0,8.3,27.4,4104,16.85
11812.0,-5.8,19.6,131328,-16.48
11844.0,8.8,27.4,4104,17.81
11875.0,-5.7,19.5,131328,-16.29
11906.0,9.5,27.5,4104,19.06
11937.0,-5.7,19.7,131328,-16.14
11968.0,9.4,27.7,4104,18.74
12000.0,-5.9,19.8,131328,-16.59
12031.0,8.8,27.4,4104,17.81
12062.0,-5.8,19.6,131328,-16.48
12093.0,9.3,27.7,4104,18.56
12124.0,-5.8,19.7,131328,-16.41
12155.0,8.5,27.5,4104,17.18
